bpmag-Gmag,bpmag-rpmag,bpmag-Jmag,bpmag-Hmag,bpmag-Kmag,bpmag-W1mag,bpmag-W2mag,Gmag-rpmag,Gmag-Jmag,Gmag-Hmag,Gmag-Kmag,Gmag-W1mag,Gmag-W2mag,rpmag-Jmag,rpmag-Hmag,rpmag-Kmag,rpmag-W1mag,rpmag-W2mag,Jmag-Hmag,Jmag-Kmag,Jmag-W1mag,Jmag-W2mag,Hmag-Kmag,Hmag-W1mag,Hmag-W2mag,Kmag-W1mag,Kmag-W2mag,W1mag-W2mag,class
0.1190,0.3271,0.5647,0.6497,0.7207,0.7897,0.8887,0.2082,0.4457,0.5307,0.6017,0.6707,0.7697,0.2376,0.3226,0.3936,0.4626,0.5616,0.0850,0.1560,0.2250,0.3240,0.0710,0.1400,0.2390,0.0690,0.1680,0.0990,B
0.1493,0.4007,0.6432,0.6722,0.6622,0.7192,0.7462,0.2514,0.4939,0.5229,0.5129,0.5699,0.5969,0.2425,0.2715,0.2615,0.3185,0.3455,0.0290,0.0190,0.0760,0.1030,-0.0100,0.0470,0.0740,0.0570,0.0840,0.0270,B
-0.0240,-0.0923,-0.1460,-0.2240,-0.1740,-0.1390,-0.1420,-0.0683,-0.1220,-0.2000,-0.1500,-0.1150,-0.1180,-0.0537,-0.1317,-0.0817,-0.0467,-0.0497,-0.0780,-0.0280,0.0070,0.0040,0.0500,0.0850,0.0820,0.0350,0.0320,-0.0030,B
0.2924,0.7389,1.8896,2.9706,4.0206,5.2176,6.1876,0.4465,1.5972,2.6782,3.7282,4.9252,5.8952,1.1507,2.2317,3.2817,4.4787,5.4487,1.0810,2.1310,3.3280,4.2980,1.0500,2.2470,3.2170,1.1970,2.1670,0.9700,B
-0.0797,0.0120,0.0080,0.0690,0.1640,0.6510,0.8570,0.0916,0.0877,0.1487,0.2437,0.7307,0.9367,-0.0039,0.0571,0.1521,0.6391,0.8451,0.0610,0.1560,0.6430,0.8490,0.0950,0.5820,0.7880,0.4870,0.6930,0.2060,B
0.2650,0.6706,1.0932,1.2262,1.3092,1.3302,1.3372,0.4057,0.8282,0.9612,1.0442,1.0652,1.0722,0.4225,0.5555,0.6385,0.6595,0.6665,0.1330,0.2160,0.2370,0.2440,0.0830,0.1040,0.1110,0.0210,0.0280,0.0070,B
0.7065,1.5521,2.6173,2.9643,3.1163,3.6323,3.8133,0.8456,1.9108,2.2578,2.4098,2.9258,3.1068,1.0652,1.4122,1.5642,2.0802,2.2612,0.3470,0.4990,1.0150,1.1960,0.1520,0.6680,0.8490,0.5160,0.6970,0.1810,B
0.1696,0.4293,0.8512,1.4452,1.4882,1.7482,2.3352,0.2597,0.6816,1.2756,1.3186,1.5786,2.1656,0.4219,1.0159,1.0589,1.3189,1.9059,0.5940,0.6370,0.8970,1.4840,0.0430,0.3030,0.8900,0.2600,0.8470,0.5870,B
0.8909,1.8474,3.1577,3.6517,4.0487,4.6397,5.0277,0.9565,2.2668,2.7608,3.1578,3.7488,4.1368,1.3104,1.8044,2.2014,2.7924,3.1804,0.4940,0.8910,1.4820,1.8700,0.3970,0.9880,1.3760,0.5910,0.9790,0.3880,B
0.8353,1.7747,3.0067,3.5517,3.8707,4.4087,4.6927,0.9394,2.1715,2.7165,3.0355,3.5735,3.8575,1.2320,1.7770,2.0960,2.6340,2.9180,0.5450,0.8640,1.4020,1.6860,0.3190,0.8570,1.1410,0.5380,0.8220,0.2840,B
0.4496,1.1284,2.2648,2.6878,3.0748,3.2868,3.5538,0.6787,1.8152,2.2382,2.6252,2.8372,3.1042,1.1364,1.5594,1.9464,2.1584,2.4254,0.4230,0.8100,1.0220,1.2890,0.3870,0.5990,0.8660,0.2120,0.4790,0.2670,B
0.4738,1.1503,2.4651,3.4811,4.3601,5.4221,6.2351,0.6765,1.9913,3.0073,3.8863,4.9483,5.7613,1.3148,2.3308,3.2098,4.2718,5.0848,1.0160,1.8950,2.9570,3.7700,0.8790,1.9410,2.7540,1.0620,1.8750,0.8130,B
0.0811,0.2200,0.4319,0.4029,0.4649,0.5349,0.5549,0.1389,0.3508,0.3218,0.3838,0.4538,0.4738,0.2119,0.1829,0.2449,0.3149,0.3349,-0.0290,0.0330,0.1030,0.1230,0.0620,0.1320,0.1520,0.0700,0.0900,0.0200,B
0.2655,0.6772,1.0615,1.2415,1.5125,1.8995,2.1825,0.4117,0.7960,0.9760,1.2470,1.6340,1.9170,0.3844,0.5644,0.8354,1.2224,1.5054,0.1800,0.4510,0.8380,1.1210,0.2710,0.6580,0.9410,0.3870,0.6700,0.2830,B
0.0261,0.0442,0.1049,0.0729,0.0759,0.1899,0.1579,0.0181,0.0788,0.0468,0.0498,0.1638,0.1318,0.0607,0.0287,0.0317,0.1457,0.1137,-0.0320,-0.0290,0.0850,0.0530,0.0030,0.1170,0.0850,0.1140,0.0820,-0.0320,B
0.1632,0.4365,0.7703,0.8543,1.1343,1.6093,1.9033,0.2733,0.6071,0.6911,0.9711,1.4461,1.7401,0.3338,0.4178,0.6978,1.1728,1.4668,0.0840,0.3640,0.8390,1.1330,0.2800,0.7550,1.0490,0.4750,0.7690,0.2940,B
0.2796,0.7100,1.1711,1.3171,1.5141,1.7901,1.9881,0.4304,0.8915,1.0375,1.2345,1.5105,1.7085,0.4611,0.6071,0.8041,1.0801,1.2781,0.1460,0.3430,0.6190,0.8170,0.1970,0.4730,0.6710,0.2760,0.4740,0.1980,B
0.0954,0.2833,0.6560,0.9380,1.5010,2.2690,3.0110,0.1878,0.5606,0.8426,1.4056,2.1736,2.9156,0.3728,0.6548,1.2178,1.9858,2.7278,0.2820,0.8450,1.6130,2.3550,0.5630,1.3310,2.0730,0.7680,1.5100,0.7420,B
-0.0650,-0.0061,-0.0765,0.0425,0.2115,0.5425,0.6935,0.0590,-0.0115,0.1075,0.2765,0.6075,0.7585,-0.0704,0.0486,0.2176,0.5486,0.6996,0.1190,0.2880,0.6190,0.7700,0.1690,0.5000,0.6510,0.3310,0.4820,0.1510,B
-0.0155,-0.0447,0.0075,0.0765,0.2675,0.1835,0.5635,-0.0292,0.0230,0.0920,0.2830,0.1990,0.5790,0.0522,0.1212,0.3122,0.2282,0.6082,0.0690,0.2600,0.1760,0.5560,0.1910,0.1070,0.4870,-0.0840,0.2960,0.3800,B
0.3161,0.7773,1.3449,1.4409,1.5769,1.5009,1.4609,0.4613,1.0289,1.1249,1.2609,1.1849,1.1449,0.5676,0.6636,0.7996,0.7236,0.6836,0.0960,0.2320,0.1560,0.1160,0.1360,0.0600,0.0200,-0.0760,-0.1160,-0.0400,B
-0.0412,-0.1411,-0.2537,-0.3287,-0.3307,-0.3397,-0.3897,-0.0999,-0.2126,-0.2876,-0.2896,-0.2986,-0.3486,-0.1127,-0.1877,-0.1897,-0.1987,-0.2487,-0.0750,-0.0770,-0.0860,-0.1360,-0.0020,-0.0110,-0.0610,-0.0090,-0.0590,-0.0500,B
0.2777,0.7135,1.2225,1.4955,1.7685,2.2265,2.5205,0.4358,0.9448,1.2178,1.4908,1.9488,2.2428,0.5090,0.7820,1.0550,1.5130,1.8070,0.2730,0.5460,1.0040,1.2980,0.2730,0.7310,1.0250,0.4580,0.7520,0.2940,B
0.1603,0.4320,0.8378,1.0038,1.3178,1.8898,2.1668,0.2718,0.6775,0.8435,1.1575,1.7295,2.0065,0.4058,0.5718,0.8858,1.4578,1.7348,0.1660,0.4800,1.0520,1.3290,0.3140,0.8860,1.1630,0.5720,0.8490,0.2770,B
0.4947,1.1517,1.8403,2.0743,2.1823,2.4483,2.3833,0.6570,1.3456,1.5796,1.6876,1.9536,1.8886,0.6886,0.9226,1.0306,1.2966,1.2316,0.2340,0.3420,0.6080,0.5430,0.1080,0.3740,0.3090,0.2660,0.2010,-0.0650,B
0.1939,0.5266,0.9491,1.0241,1.1301,1.2121,1.2711,0.3327,0.7552,0.8302,0.9362,1.0182,1.0772,0.4225,0.4975,0.6035,0.6855,0.7445,0.0750,0.1810,0.2630,0.3220,0.1060,0.1880,0.2470,0.0820,0.1410,0.0590,B
